type	num	wineHeight	voxel_volume	pixels	filename
A	1	332	2980	43	A_1
C	1	310	153591	981	C_1
A	2	324	50778	387	A_2
B	2	308	63541	579	B_2
C	2	320	53316	417	C_2
A	3	318	111769	728	A_3
B	3	298	131896	1045	B_3
C	3	305	219985	1306	C_3
B	4	290	200896	1464	B_4
C	4	308	178926	1108	C_4
A	4	313	176966	1050	A_4
A	5	309	237678	1328	A_5
B	5	284	260375	1801	B_5
C	5	303	249037	1442	C_5
C	6	299	311509	1724	C_6
B	6	278	326373	2156	B_6
A	6	306	287908	1547	A_6
C	7	296	363124	1946	C_7
B	7	273	386371	2465	B_7
A	7	303	342350	1775	A_7
B	8	268	450314	2784	B_8
C	8	293	417085	2173	C_8
B	9	265	490544	2980	B_9
C	9	290	473937	2406	C_9
B	10	260	561484	3316	B_10
A	10	294	526956	2502	A_10
C	10	287	534260	2646	C_10
B	11	256	620881	3591	B_11
A	11	291	595056	2757	A_11
C	11	284	597119	2891	C_11
B	12	252	682017	3870	B_12
A	12	289	642612	2931	A_12
C	12	281	662570	3141	C_12
C	13	278	731201	3397	C_13
A	13	286	716708	3197	A_13
B	13	248	746261	4156	B_13
A	14	283	793615	3468	A_14
B	14	245	796029	4374	B_14
C	14	276	778757	3571	C_14
C	15	273	851191	3834	C_15
A	15	281	846220	3651	A_15
B	15	240	881120	4742	B_15
C	16	271	900965	4012	C_16
A	16	279	896588	3830	A_16
B	16	236	951336	5041	B_16
A	17	277	950930	4016	A_17
B	17	233	1004829	5267	B_17
C	17	268	977872	4283	C_17
B	18	230	1058341	5493	B_18
C	18	266	1028771	4463	C_18
A	18	275	1006448	4204	A_18
A	19	273	1063152	4394	A_19
C	19	264	1081951	4647	C_19
B	19	227	1114219	5724	B_19
C	20	262	1135131	4831	C_20
A	20	271	1118694	4582	A_20
B	20	223	1188723	6032	B_20
C	21	259	1216644	5110	C_21
B	21	220	1244601	6263	B_21
A	21	269	1175405	4772	A_21
A	22	267	1233309	4964	A_22
B	22	217	1301940	6497	B_22
C	22	257	1269830	5294	C_22
B	23	215	1339198	6651	B_23
C	23	256	1295845	5385	C_23
A	23	265	1289432	5153	A_23
A	24	264	1314316	5242	A_24
C	24	253	1376209	5662	C_24
B	24	212	1397036	6886	B_24
B	25	209	1451952	7115	B_25
A	25	262	1358705	5410	A_25
C	25	252	1403968	5756	C_25
C	26	250	1455998	5938	C_26
A	26	260	1404675	5581	A_26
B	26	206	1509309	7349	B_26
C	27	248	1508028	6120	C_27
B	27	203	1568627	7587	B_27
